Source Name	Characteristics [Organism]	Term Source REF	Description	Sample Name	Protocol REF	Extract Name	Material Type	Term Source REF	Protocol REF	Labeled Extract Name	Label	Material Type	Term Source REF	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Comment [Array Design URI]	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Comment [ArrayExpress Data Retrieval URI]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	Comment [Derived ArrayExpress Data Retrieval URI]	
GSE8192GSM201132	Homo sapiens	mo	HeLa shRHAU- 30min 1:  This is the sample of HeLa-shRHAU cells without expression of short hairpin RNA, 30 min incubation with ActD. Strain: HeLa; Gender: Female	GSE8192GSM201132 sample	P-G8192-3	GSE8192GSM201132 extract	total_RNA	The MGED Ontology	P-G8192-1	GSE8192GSM201132 LE	biotin	synthetic_RNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-Unknown	HeLa shRHAU- 30min 1	A-AFFY-44	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-44	P-AFFY-6	HeLa shRHAU- 30min 1	GSM201132.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8192/E-GEOD-8192.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1631344223	Affymetrix:Protocol:ExpressionStat	E-GEOD-8192-processed-data-1631375922.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8192/E-GEOD-8192.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1631344223	
GSE8192GSM201162	Homo sapiens	mo	HeLa shRHAU+ 120min 2:  This is the sample of HeLa-shRHAU cells with expression of short hairpin RNA, 120 min incubation with ActD. Strain: HeLa; Gender: Female	GSE8192GSM201162 sample	P-G8192-3	GSE8192GSM201162 extract	total_RNA	The MGED Ontology	P-G8192-1	GSE8192GSM201162 LE	biotin	synthetic_RNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-Unknown	HeLa shRHAU+ 120min 2	A-AFFY-44	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-44	P-AFFY-6	HeLa shRHAU+ 120min 2	GSM201162.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8192/E-GEOD-8192.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1631344223	Affymetrix:Protocol:ExpressionStat	E-GEOD-8192-processed-data-1631375922.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8192/E-GEOD-8192.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1631344223	
GSE8192GSM201194	Homo sapiens	mo	HeLa shLuc+ 120min 2:  This is the sample of HeLa-shLuc cells with expression of short hairpin RNA, 120 min incubation with ActD. Strain: HeLa; Gender: Female	GSE8192GSM201194 sample	P-G8192-3	GSE8192GSM201194 extract	total_RNA	The MGED Ontology	P-G8192-1	GSE8192GSM201194 LE	biotin	synthetic_RNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-Unknown	HeLa shLuc+ 120min 2	A-AFFY-44	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-44	P-AFFY-6	HeLa shLuc+ 120min 2	GSM201194.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8192/E-GEOD-8192.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1631344223	Affymetrix:Protocol:ExpressionStat	E-GEOD-8192-processed-data-1631375922.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8192/E-GEOD-8192.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1631344223	
GSE8192GSM201163	Homo sapiens	mo	HeLa shRHAU- 0min 3:  This is the sample of HeLa-shRHAU cells without expression of short hairpin RNA. Strain: HeLa; Gender: Female	GSE8192GSM201163 sample	P-G8192-3	GSE8192GSM201163 extract	total_RNA	The MGED Ontology	P-G8192-1	GSE8192GSM201163 LE	biotin	synthetic_RNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-Unknown	HeLa shRHAU- 0min 3	A-AFFY-44	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-44	P-AFFY-6	HeLa shRHAU- 0min 3	GSM201163.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8192/E-GEOD-8192.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1631344223	Affymetrix:Protocol:ExpressionStat	E-GEOD-8192-processed-data-1631375922.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8192/E-GEOD-8192.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1631344223	
GSE8192GSM201165	Homo sapiens	mo	HeLa shRHAU+ 0min 3:  This is the sample of HeLa-shRHAU cells with expression of short hairpin RNA. Strain: HeLa; Gender: Female	GSE8192GSM201165 sample	P-G8192-3	GSE8192GSM201165 extract	total_RNA	The MGED Ontology	P-G8192-1	GSE8192GSM201165 LE	biotin	synthetic_RNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-Unknown	HeLa shRHAU+ 0min 3	A-AFFY-44	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-44	P-AFFY-6	HeLa shRHAU+ 0min 3	GSM201165.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8192/E-GEOD-8192.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1631344223	Affymetrix:Protocol:ExpressionStat	E-GEOD-8192-processed-data-1631375922.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8192/E-GEOD-8192.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1631344223	
GSE8192GSM201185	Homo sapiens	mo	HeLa shLuc- 120min 1:  This is the sample of HeLa-shLuc cells without expression of short hairpin RNA, 120 min incubation with ActD. Strain: HeLa; Gender: Female	GSE8192GSM201185 sample	P-G8192-3	GSE8192GSM201185 extract	total_RNA	The MGED Ontology	P-G8192-1	GSE8192GSM201185 LE	biotin	synthetic_RNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-Unknown	HeLa shLuc- 120min 1	A-AFFY-44	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-44	P-AFFY-6	HeLa shLuc- 120min 1	GSM201185.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8192/E-GEOD-8192.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1631344223	Affymetrix:Protocol:ExpressionStat	E-GEOD-8192-processed-data-1631375922.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8192/E-GEOD-8192.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1631344223	
GSE8192GSM201146	Homo sapiens	mo	HeLa shRHAU+ STV 1:  This is the sample of HeLa-shRHAU cells with expression of short hairpin RNA, cultured 24 hrs in serum-depleted medium. Strain: HeLa; Gender: Female	GSE8192GSM201146 sample	P-G8192-3	GSE8192GSM201146 extract	total_RNA	The MGED Ontology	P-G8192-1	GSE8192GSM201146 LE	biotin	synthetic_RNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-Unknown	HeLa shRHAU+ STV 1	A-AFFY-44	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-44	P-AFFY-6	HeLa shRHAU+ STV 1	GSM201146.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8192/E-GEOD-8192.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1631344223	Affymetrix:Protocol:ExpressionStat	E-GEOD-8192-processed-data-1631375922.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8192/E-GEOD-8192.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1631344223	
GSE8192GSM201193	Homo sapiens	mo	HeLa shLuc+ 120min 1:  This is the sample of HeLa-shLuc cells with expression of short hairpin RNA, 120 min incubation with ActD. Strain: HeLa; Gender: Female	GSE8192GSM201193 sample	P-G8192-3	GSE8192GSM201193 extract	total_RNA	The MGED Ontology	P-G8192-1	GSE8192GSM201193 LE	biotin	synthetic_RNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-Unknown	HeLa shLuc+ 120min 1	A-AFFY-44	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-44	P-AFFY-6	HeLa shLuc+ 120min 1	GSM201193.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8192/E-GEOD-8192.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1631344223	Affymetrix:Protocol:ExpressionStat	E-GEOD-8192-processed-data-1631375922.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8192/E-GEOD-8192.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1631344223	
GSE8192GSM201180	Homo sapiens	mo	HeLa shLuc- 30min 2:  This is the sample of HeLa-shLuc cells without expression of short hairpin RNA, 30 min incubation with ActD. Strain: HeLa; Gender: Female	GSE8192GSM201180 sample	P-G8192-3	GSE8192GSM201180 extract	total_RNA	The MGED Ontology	P-G8192-1	GSE8192GSM201180 LE	biotin	synthetic_RNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-Unknown	HeLa shLuc- 30min 2	A-AFFY-44	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-44	P-AFFY-6	HeLa shLuc- 30min 2	GSM201180.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8192/E-GEOD-8192.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1631344223	Affymetrix:Protocol:ExpressionStat	E-GEOD-8192-processed-data-1631375922.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8192/E-GEOD-8192.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1631344223	
GSE8192GSM201172	Homo sapiens	mo	HeLa shLuc- STV 2:  This is the sample of HeLa-shLuc cells without expression of short hairpin RNA, cultured 24 hrs in serum-depleted medium. Strain: HeLa; Gender: Female	GSE8192GSM201172 sample	P-G8192-3	GSE8192GSM201172 extract	total_RNA	The MGED Ontology	P-G8192-1	GSE8192GSM201172 LE	biotin	synthetic_RNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-Unknown	HeLa shLuc- STV 2	A-AFFY-44	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-44	P-AFFY-6	HeLa shLuc- STV 2	GSM201172.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8192/E-GEOD-8192.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1631344223	Affymetrix:Protocol:ExpressionStat	E-GEOD-8192-processed-data-1631375922.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8192/E-GEOD-8192.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1631344223	
